Waste Item,Category,Disposal Method,Reason,Safety Guidance,Sustainability Impact
Broken glass,General waste or special glass collection,Wrap securely and follow local broken-glass guidance,Broken glass can injure workers and may not be accepted in bottle recycling,Wrap in thick paper or a rigid container and label it; never place loose shards in a bag,Safe collection protects people and keeps recycling streams usable
Metal cans,Recyclable metal,Empty and rinse into a metal or mixed recycling bin,Steel and aluminum can be recovered and remelted,Do not crush cans if local sorting requires their shape; keep them free of food,Metal recycling saves significant energy compared with mining new ore
Aluminum foil,Recyclable metal,Recycle clean and balled foil where accepted,Clean aluminum foil can be recovered but loose tiny pieces are hard to sort,Rinse off food and make a fist-sized ball; otherwise use general waste,Aluminum recovery saves energy and reduces mining impacts
Clothes,Textile reuse,Donate reuse or place in a textile collection point,Usable textiles can serve another person and fibers may be recovered,Keep donations clean and dry; do not donate moldy or contaminated fabric,Reuse reduces water energy and emissions from new textile production
Shoes,Textile reuse,Donate or use a shoe and textile collection point,Many shoes can be reused or separated for material recovery,Pair shoes and keep them dry; do not donate unsafe or heavily contaminated footwear,Reuse extends product life and reduces landfill waste
Batteries,Hazardous household waste,Take to an authorized battery collection point,Batteries can leak and contain reactive materials that require controlled handling,Do not burn crush or place loose batteries in regular bins; tape exposed terminals,Proper recovery prevents fires and captures valuable metals
Lithium-ion battery,Hazardous e-waste,Use an authorized battery or e-waste drop-off,Lithium batteries can ignite if damaged or short-circuited,Do not puncture or throw in household bins; isolate damaged batteries and seek local hazardous-waste advice,Specialized recycling reduces fire risk and recovers critical minerals
Mobile phones,E-waste,Erase data and take to an authorized e-waste or electronics collection point,Phones contain recoverable metals and components needing specialized processing,Back up and factory-reset personal data; do not dismantle or burn the phone,Recycling electronics recovers materials and reduces mining and toxic waste
Broken mobile charger,E-waste,Take to an authorized e-waste collection point,Electronic components require specialized handling and material recovery,Do not dismantle burn or place in regular waste; coil cables safely,Proper e-waste collection supports responsible recovery and disposal
Chargers,E-waste,Use an electronics take-back or e-waste facility,Chargers contain wiring plastics and circuit components,Keep damaged cords away from water and do not cut or burn them,Recovery reduces electronic waste and can reclaim copper and other materials
Earphones,E-waste,Take to an authorized e-waste collection point,Small electronics contain mixed materials that are difficult to sort in regular recycling,Do not place in household recycling or attempt to burn them,Responsible collection prevents persistent e-waste and recovers components
Electronic devices,E-waste,Use an authorized e-waste recycler or manufacturer take-back,Devices contain metals plastics and sometimes batteries that need specialized handling,Remove personal data and keep batteries intact; follow local drop-off instructions,Recycling recovers materials and helps prevent hazardous pollution
Laptop,E-waste,Donate if usable or take to an authorized e-waste recycler,Laptops contain valuable metals and data-bearing storage,Back up and securely erase data; do not dismantle a swollen battery,Reuse and material recovery reduce the footprint of new electronics
Printer cartridges,Specialty recycling,Return through a cartridge take-back program,Cartridges contain mixed plastics ink and residual chemicals,Seal leaking cartridges and never pour ink into drains,Take-back programs recover parts and reduce plastic waste
Expired medicines,Pharmaceutical waste,Return to a pharmacy or authorized medicine take-back program,Medicines can contaminate water and harm people or animals if misused,Do not flush or share medicines; keep them in original packaging and follow local instructions,Safe take-back prevents pharmaceutical pollution and accidental exposure
Syringes,Sharps waste,Use an approved sharps container or local medical-waste service,Needles can injure people and transmit infection,Do not recap bend or place loose syringes in any household bin,Specialized treatment protects sanitation workers and the community
Used tissues,General waste,Place in a closed general-waste bin,Used tissues may carry germs and are not suitable for paper recycling,Wash hands and never recycle tissues; compost only if local guidance explicitly allows it,Correct disposal reduces contamination and hygiene risks
Diapers,General waste,Seal and place in general waste,Diapers contain mixed absorbent materials and biological contamination,Wrap securely and wash hands after handling,Safe disposal supports public hygiene and avoids contaminating recycling
Mixed waste,General waste,Use general waste only after separating recoverable materials,Mixed materials are difficult to recover and can contaminate recycling,Do not mix batteries medicines chemicals or e-waste with general waste,Better sorting reduces landfill use and improves recovery rates
Thermocol or foam packaging,Specialty or general waste,Check local foam collection or use general waste,Expanded foam is bulky and rarely accepted in standard recycling,Keep foam out of drains and do not burn it,Specialized recovery reduces persistent plastic litter
Paint cans,Hazardous household waste,Take leftover paint to a household hazardous-waste program,Paint can contain solvents and should not enter drains or regular recycling,Keep sealed and never pour paint into soil or water; follow local rules,Proper treatment prevents chemical pollution and may enable material recovery
Cleaning chemicals,Hazardous household waste,Use an authorized hazardous-waste collection channel,Chemicals can harm people waterways and waste workers,Keep in original labeled containers and never mix chemicals,Safe treatment prevents toxic releases and protects water quality
Cooking oil,Organic or specialty waste,Collect in a sealed container for an oil collection point or approved reuse,Used oil can clog drains and harm waterways,Let it cool and never pour it down a sink,Recovery can produce biodiesel and prevents sewer or water pollution
Wood scraps,Compost or reuse,Reuse donate or take untreated wood to a local recovery facility,Untreated wood can be reused or chipped while treated wood may contain chemicals,Do not burn painted or treated wood; keep nails contained,Reuse and chipping reduce landfill volume and demand for new timber
Light bulbs,Specialty e-waste,Take fluorescent or LED bulbs to a designated collection point,Bulbs can contain mercury or electronic components and break easily,Handle carefully and do not place fluorescent bulbs in regular glass recycling,Specialty recovery keeps hazardous materials out of landfill
Hair,Organic waste,Compost small amounts where accepted or use general waste,Hair is organic but may not be accepted by every compost program,Keep free of chemical treatments and confirm local compost rules,Composting or reuse avoids unnecessary landfill disposal
Reusable water bottle,Reuse,Wash and keep using or donate,Durable bottles are designed to replace single-use containers,Repair or recycle only when the bottle is no longer usable,Reuse avoids repeated packaging production and disposal
Campus food container,Recyclable plastic or general waste,Empty rinse and sort according to material and local campus rules,Food residue contaminates otherwise recyclable containers,Use a refillable container when possible and separate leftovers,Correct sorting improves campus recovery and reduces single-use waste
